time,agegroup
811,14838,40
812,14843,30
813,14843,40
814,14845,30
815,14846,40
816,14847,40
817,14853,50
818,14855,30
819,14856,40
820,14857,30
821,14860,35
822,14861,35
823,14863,35
824,14864,45
825,14864,55
826,14869,30
827,14875,40
828,14877,30
829,14882,40
830,14885,35
831,14886,35
832,14888,30
833,14888,45
834,14892,30
835,14892,35
836,14892,45
837,14893,45
838,14896,45
839,14900,40
840,14901,40
841,14903,50
842,14906,35
843,14906,55
844,14907,35
845,14911,35
846,14913,35
847,14915,45
848,14918,30
849,14918,30
850,14918,30
851,14918,50
852,14922,45
853,14923,30
854,14927,35
855,14936,30
856,14940,40
857,14942,55
858,14949,35
859,14950,35
860,14951,40
861,14954,40
862,14955,40
863,14956,40
864,14960,30
865,14966,35
866,14966,40
867,14967,45
868,14971,30
869,14972,35
870,14972,55
871,14976,50
872,14978,50
873,14983,30
874,14984,30
875,14986,30
876,14989,40
877,14989,40
878,14990,40
879,14993,30
880,14993,35
881,14993,40
882,14995,30
883,14996,35
884,14996,40
885,14997,50
886,15003,30
887,15005,35
888,15010,30
889,15011,45
890,15017,45
891,15019,30
892,15027,30
893,15027,40
894,15031,35
895,15033,30
896,15033,35
897,15035,40
898,15036,45
899,15037,35
900,15040,30
901,15041,30
902,15042,40
903,15043,40
904,15046,35
905,15049,45
906,15054,40
907,15056,35
908,15056,35
909,15057,40
910,15057,50
911,15058,30
912,15062,35
913,15063,35
914,15063,45
915,15065,45
916,15067,40
917,15067,45
918,15069,35
919,15077,35
920,15078,30
921,15078,30
922,15078,30
923,15080,45
924,15084,45
925,15088,40
926,15092,40
927,15095,30
928,15097,30
929,15099,30
930,15099,40
931,15102,35
932,15107,45
933,15108,55
934,15109,45
935,15109,50
936,15111,35
937,15115,40
938,15117,40
939,15121,45
940,15125,30
941,15125,35
942,15126,35
943,15127,30
944,15127,35
945,15127,50
946,15129,30
947,15129,45
948,15131,45
949,15133,45
950,15135,35
951,15136,55
952,15139,30
953,15139,55
954,15140,30
955,15143,50
956,15146,55
957,15147,40
958,15150,40
959,15154,40
960,15159,30
961,15159,30
962,15161,30
963,15161,40
964,15162,30
965,15168,35
966,15170,35
967,15170,40
968,15179,40
969,15184,35
970,15187,30
971,15189,40
972,15196,50
973,15200,40
974,15201,35
975,15201,40
976,15202,35
977,15205,35
978,15206,30
979,15208,40
980,15208,45
981,15209,40
982,15210,35
983,15213,40
984,15215,45
985,15218,35
986,15219,35
987,15219,45
988,15221,35
989,15226,35
990,15226,40
991,15228,35
992,15232,35
993,15233,40
994,15233,40
995,15236,40
996,15238,50
997,15240,35
998,15244,35
999,15245,45
1000,15246,45
1001,15247,35
1002,15253,35
1003,15256,30
1004,15257,35
1005,15257,40
1006,15259,35
1007,15260,50
1008,15260,55
1009,15265,35
1010,15265,50
1011,15270,35
1012,15272,40
1013,15275,50
1014,15276,35
1015,15280,30
1016,15284,30
1017,15288,45
1018,15290,30
1019,15290,45
1020,15293,45
1021,15294,55
1022,15301,35
1023,15304,35
1024,15305,35
1025,15307,30
1026,15308,40
1027,15314,45
1028,15322,45
1029,15325,30
1030,15326,40
1031,15326,45
1032,15328,35
1033,15328,40
1034,15333,30
1035,15334,30
1036,15336,40
1037,15337,35
1038,15337,35
1039,15339,45
1040,15341,30
1041,15341,35
1042,15342,35
1043,15343,55
1044,15347,40
1045,15349,30
1046,15349,35
1047,15350,40
1048,15353,35
1049,15354,45
1050,15354,50
1051,15359,40
1052,15361,30
1053,15362,30
1054,15363,40
1055,15365,40
1056,15366,35
1057,15367,35
1058,15368,35
1059,15369,35
1060,15370,40
1061,15371,30
1062,15371,35
1063,15372,35
1064,15372,45
1065,15374,30
1066,15375,35
1067,15375,45
1068,15376,35
1069,15379,35
1070,15379,45
1071,15380,45
1072,15380,50
1073,15382,30
1074,15383,35
1075,15384,55
1076,15386,50
1077,15388,30
1078,15390,50
1079,15391,50
1080,15393,35
1081,15393,45
1082,15395,45
1083,15396,30
1084,15397,30
1085,15399,35
1086,15403,40
1087,15407,45
1088,15409,30
1089,15413,30
1090,15417,30
1091,15417,30
1092,15418,45
1093,15419,40
1094,15423,40
1095,15426,30
1096,15426,35
1097,15427,40
1098,15433,35
1099,15437,35
1100,15439,35
1101,15441,45
1102,15443,30
1103,15443,40
1104,15446,35
1105,15447,45
1106,15449,55
1107,15457,35
1108,15458,50
1109,15460,35
1110,15461,30
1111,15464,35
1112,15467,50
1113,15471,30
1114,15471,40
1115,15471,45
1116,15474,35
1117,15476,40
1118,15476,55
1119,15479,55
1120,15482,30
1121,15486,30
1122,15486,40
1123,15489,35
1124,15493,30
1125,15493,40
1126,15493,45
1127,15494,40
1128,15495,35
1129,15495,40
1130,15498,40
1131,15499,35
1132,15500,30
1133,15501,30
1134,15501,40
1135,15501,50
1136,15505,40
1137,15507,35
1138,15507,45
1139,15508,45
1140,15512,35
1141,15512,40
1142,15514,40
1143,15514,40
1144,15518,35
1145,15522,35
1146,15525,40
1147,15525,40
1148,15527,50
1149,15534,40
1150,15536,55
1151,15537,30
1152,15537,40
1153,15538,35
1154,15538,45
1155,15538,50
1156,15541,35
1157,15542,40
1158,15543,35
1159,15543,50
1160,15553,30
1161,15554,50
1162,15555,30
1163,15558,40
1164,15560,45
1165,15564,45
1166,15565,30
1167,15567,30
1168,15567,40
1169,15568,45
1170,15569,35
1171,15570,30
1172,15570,45
1173,15573,40
1174,15576,40
1175,15578,30
1176,15580,35
1177,15582,45
1178,15591,30
1179,15596,40
1180,15598,30
1181,15600,35
1182,15601,45
1183,15607,35
1184,15607,50
